Key,AncientToponym,Province,ProviceCombined,SiteAreaHa,SampleAreaHa,NumPropertiesInSample,EstimatedNumProperties,lnSiteArea,lnNumProp
28,Delos,Achaca,Other,95,1.6,50,2968.75,4.553876892,7.995896268
87,Piracus,Achaea,Other,141,0.24,8,4700,4.94875989,8.455317788
19,Cassope,Achaea,Other,30,16,500,937.5,3.401197382,6.843216758
131,Hermopolis Magna,Acgyptus,Other,155,155,7000,7000,5.043425117,8.853665428
155,Thmuis,Acgyptus,Other,85,85,3560,3560,4.442651256,8.177515824
177,Gigthis,Africa Proconsularis,Other,50,0.11,9,4090.909091,3.912023005,8.316522496
194,Sabratha,Africa Proconsularis,Other,35,2.54,116,1598.425197,3.555348061,7.376774172
187,Meninx,Africa Proconsularis,Other,43,0.25,6,1032,3.761200116,6.939253946
217,Utica,Africa Proconsularis,Other,85,0.32,6,1593.75,4.442651256,7.373845009
225,Augusta Practoria,Alpes Graiae et Poeninae,Other,41,0.24,4,683.3333333,3.713572067,6.526982783
305,Pergamum,Asia,Other,220,0.22,13,13000,5.393627546,9.472704636
276,Ephesus,Asia,Other,263,0.7,30,11271.42857,5.572154032,9.330026358
347,lalica,Bactica,Other,49,1.85,24,635.6756757,3.891820298,6.454688489
404,Ratac,Britannia,Britannia,46,0.4475,19,1953.072626,3.828641396,7.577159117
399,Londinium,Britannia,Britannia,160,0.04,2,8000,5.075173815,8.987196821
408,Verulamium,Britannia,Britannia,90,0.3,11,3300,4.49980967,8.101677747
409,Viroconium,Britannia,Britannia,82,0.7534,29,3156.357844,4.406719247,8.057174061
395,Isca,Britannia,Britannia,37,1.147,13,419.3548387,3.610917913,6.038717432
386,Camulodunum,Britannia,Britannia,48,0.9,27,1440,3.871201011,7.272398393
400,Luguvalium,Britannia,Britannia,28,0.2,16,2240,3.33220451,7.714231145
383,Aqua Sulis,Britannia,Britannia,12,0.612,27,529.4117647,2.48490665,6.271766512
385,Calleva,Britannia,Britannia,45,0.25,4,720,3.80666249,6.579251212
387,Corinium,Britannia,Britannia,93,0.5375,21,3633.488372,4.532599493,8.19794845
599,Alesia,Gallia Lugdunensis,Other,97,0.14,10,6928.571429,4.574710979,8.843408928
620,Lugdunum,Gallia Lugdunensis,Other,170,0.28,20,12142.85714,5.135798437,9.404496386
647,Glanum,Gallia Narbonensis,Other,32,0.24,5,666.6666667,3.465735903,6.502290171
657,Vasio,Gallia Narbonensis,Other,36,0.83,25,1084.337349,3.583518938,6.988724342
695,Celsa,Hispania Tarraconensis,Other,18,0.3,11,660,2.890371758,6.492239835
700,Emporiae,Hispania Tarraconensis,Other,21,0.4,5,262.5,3.044522438,5.570251082
776,Herculaneum,Talia (1 Latium and Campania),Other,20,3.73,80,428.9544236,2.995732274,6.061350675
790,Pompeii,Talia (1 Latium and Campania),Other,60,44.32,1151,1558.212996,4.094344562,7.351294929
788,Ostia,Talia (1 Latium and Campania),Other,154,35,3153,13873.2,5.036952602,9.5377142
845,Venusia,Talia (11 Apulia et Calabria),Other,44,0.07,3,1885.714286,3.784189634,7.54206196
859,Metapontum,Tualia (Il Lucania et Brutii),Other,150,70,3000,6428.571429,5.010635294,8.76850762
861,Pacstum,Talia (I Lucania et Brutii),Other,126,0.96,20,2625,4.836281907,7.872836175
1037,Libama,alia (IX Liguria),Other,20,0.6,12,400,2.995732274,5.991464547
971,Cosa,Talia (VII Etruria),Other,14,10,258,361.2,2.63905733,5.889431822
984,Luna,Talia (VII Etruria),Other,23,0.25,4,368,3.135494216,5.908082938
1065,Verona,Talia (X Venetia et Histria),Other,52,0.59,8,705.0847458,3.951243719,6.558318002
1077,Augusta Emerita,Lusitania,Other,81,1.5,36,1944,4.394449155,7.572502985
1081,Conimbriga,Lusitania,Other,23,1.06,14,303.7735849,3.135494216,5.716282637
1136,Side,Lycia et Pamphylia,Other,38,0.1,6,2280,3.63758616,7.731930722
1171,Cuicul,Mauretania Cacsariensis,Other,12,6.35,74,139.8425197,2.48490665,4.94051693
1203,Volubilis,Mauretania Tingitana,Other,43,4.32,182,1811.574074,3.761200116,7.501951401
1258,Thamugadi,Numidia,Other,50,9.96,711,3569.277108,3.912023005,8.180118364
1241,Bulla Regia,Numidia,Other,31,0.94,11,362.7659574,3.433987204,5.893757881
1307,Himera,silicia,Other,82,0.24,8,2733.333333,4.406719247,7.913277145
1313,Morgantina,silicia,Other,25,0.14,8,1428.571429,3.218875825,7.264430223
1322,Tyndaris,Silicia,Other,30,0.19,9,1421.052632,3.401197382,7.259153166
1340,Palmyra,Syria,Other,120,0.11,2,2181.818182,4.787491743,7.687913837
9999,Silchester,Britannia,Silchester,43,43,186,186,3.761200116,5.225746674
